CID,CNTRY
AW00011000,Sweden
AW0-0011001,JP
AW00011002,SE
AW00011003,Australia
AW00011004,Australia
AW00011005,BR
AW00011006,IN
AW0001-1007,United Kingdom
AW00011008,AU
AW000-11009,Australia
AW00011010,Australia
AW00011011,CA
AW00011012,
AW00011013,Australia
AW00011014,ZA
AW00011015,IN
AW00011016,Australia
AW00011017,Australia
AW00011018,FR
AW00-011019,ZA
AW00011020,BR
AW00011021,USA
AW00-011022,France
AW0-0011023,CA
AW00011024,Australia
AW00011025,UK
AW00011026,Australia
AW00011027,India
AW00011028,AU
AW00011029,France
AW00011030,United States
AW00011031,Australia
AW00011032,South Africa
AW00011033,France
AW000-11034,Australia
AW00011035,Australia
AW00011036,Sweden
AW00011037,MX
AW00011038,South Africa
AW0-0011039,UK
AW00-011040,United States
AW00011041,Spain
AW00011042,AU
AW0-0011043,USA
AW00011044,AU
AW00011045,USA
AW000-11046,United States
AW0-0011047,USA
AW00011048,DE
AW00011049,UK
AW00011050,ZA
AW00011051,BR
AW00-011052,IN
AW00011053,US
AW00011054,
AW00011055,Germany
AW00011056,Netherlands
AW00011057,USA
AW00011058,US
AW00011-059,UK
AW0-0011060,Germany
AW00011061,FR
AW00011062,ZA
AW00011063,UK
AW00011064,USA
AW00011065,United Kingdom
AW0-0011066,South Africa
AW00011067,Germany
AW00011068,Australia
AW00011069,CA
AW00011070,FR
AW00011071,DE
AW0-0011072,Germany
AW00011073,United Kingdom
AW00011074,US
AW00011075,KR
AW0-0011076,KR
AW00011077,Sweden
AW00011078,CA
AW00011079,CA
AW00011080,AU
AW00011081,CA
AW00011082,Italy
AW00011083,South Korea
AW00011084,United Kingdom
AW00011085,NL
AW00011086,DE
AW00011087,AU
AW00011088,UK
AW0-0011089,United States
AW00011090,Canada
AW00011091,Australia
AW00011092,US
AW00-011093,Japan
AW00011094,UK
AW00011095,US
AW00011096,United States
AW00011097,Mexico
AW00011-098,FR
AW00011099,SE
AW00011100,South Africa
AW00011101,US
AW00011102,MX
AW00011103,Mexico
AW00011104,USA
AW00011105,NL
AW000-11106,CA
AW00-011107,ZA
AW00011108,United Kingdom
AW0-0011109,FR
AW00011110,Mexico
AW00011111,Australia
AW00011112,USA
AW00011113,US
AW00011114,Germany
AW00011115,Australia
AW00011116,US
AW00011117,ZA
AW00011118,South Africa
AW00011119,USA
AW00011120,ZA
AW00011121,Germany
AW00011122,UK
AW00011123,MX
AW00011124,UK
AW00011125,CA
AW00011126,Brazil
AW00011127,KR
AW00011128,US
AW00011129,United Kingdom
AW00-011130,Australia
AW00011131,United Kingdom
AW00011132,MX
AW00011133,DE
AW00011134,Netherlands
AW00011135,United States
AW00011136,FR
AW00011137,Germany
AW000-11138,Canada
AW00011139,Mexico
AW00011140,ZA
AW00011141,IN
AW00011142,United States
AW00011143,AU
AW00011144,ZA
AW00011145,United Kingdom
AW0-0011146,Italy
AW00011147,USA
AW00011148,CA
AW00011149,Germany
AW00011150,US
AW00011151,South Korea
AW0-0011152,USA
AW00011153,South Africa
AW00011154,AU
AW0-0011155,United States
AW00011156,USA
AW00011157,South Africa
AW00011158,China
AW00011159,Australia
AW00011160,France
AW00011161,SE
AW00011162,ES
AW00011163,CA
AW00011164,US
AW00011165,KR
AW00011166,IT
AW00-011167,CA
AW00011168,US
AW00011-169,Sweden
AW00011170,Sweden
AW00011171,UK
AW00011172,France
AW00011173,US
AW00011174,BR
AW00011175,Brazil
AW000-11176,Australia
AW00011177,USA
AW00011178,US
AW00011179,United States
AW00011180,AU
AW00011181,FR
AW00011182,United States
AW00011183,China
AW00011184,JP
AW0001-1185,Germany
AW00011186,DE
AW00011187,UK
AW00011188,Germany
AW00-011189,MX
AW00011190,US
AW00011-191,Australia
AW00011192,United States
AW000-11193,ES
AW00011194,ZA
AW0001-1195,SE
AW00011196,United Kingdom
AW00011197,Sweden
AW00011-198,Italy
AW00011199,Australia
AW000-11200,FR
AW00011201,Brazil
AW00011202,Australia
AW00011203,IN
AW00011-204,Spain
AW00011205,MX
AW00011206,Germany
AW00011207,South Africa
AW00011208,UK
AW00011209,DE
AW00011210,CA
AW00011211,Brazil
AW00-011212,DE
AW00011213,BR
AW00011214,AU
AW00011215,Australia
AW00011-216,KR
AW000-11217,ZA
AW00011218,KR
AW00011219,United States
AW00011220,CA
AW00011221,DE
AW00011-222,Japan
AW00011223,United States
AW0-0011224,CA
AW0001-1225,United States
AW00011226,Netherlands
AW00011227,DE
AW00011228,ZA
AW00011229,FR
AW000-11230,KR
AW00011231,KR
AW00011232,Australia
AW00011233,USA
AW00011234,NL
AW00011235,US
AW00011236,United Kingdom
AW00011237,IT
AW00011238,Australia
AW00011239,Netherlands
AW00011240,United Kingdom
AW00011241,United States
AW00011242,US
AW00011243,Australia
AW00011244,France
AW00011245,USA
AW00011246,Australia
AW00011247,Brazil
AW00011248,United States
AW00011249,DE
AW00011250,USA
AW00011-251,KR
AW00011252,US
AW00011253,Australia
AW000-11254,FR
AW00011255,AU
